?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;јдр;«нчн_1
397;0200;397;0000;000;0000;0;0000;0000;4;100;;
397;0200;398;0200;397;0200;0;0397;0000;4;100;;
398;EEFD;399;EEFD;396;0000;0;FFFD;0000;4;100;396;0000
399;AF05;39A;AF05;399;0005;0;0005;0005;0;0;;
39A;EEFA;39B;EEFA;395;0005;0;FFFA;0005;0;0;395;0005
39B;AEF7;39C;AEF7;393;07FF;0;FFF7;07FF;0;0;;
39C;EEF7;39D;EEF7;394;07FF;0;FFF7;07FF;0;0;394;07FF
39D;AAF6;39E;AAF6;7FF;0C00;0;FFF6;0C00;0;0;394;0800
39E;F201;39F;F201;39E;F201;0;039E;0C00;0;0;;
39F;AAF6;3A0;AAF6;000;A000;0;FFF6;A000;8;1000;396;0001
3A0;8395;3A1;8395;395;0004;0;0003;A000;8;1000;395;0004
3A1;CEFB;39D;CEFB;3A1;039D;0;FFFB;A000;8;1000;;
39D;AAF6;39E;AAF6;000;A000;0;FFF6;A000;8;1000;394;0801
39E;F201;3A0;F201;39E;F201;0;0001;A000;8;1000;;
3A0;8395;3A1;8395;395;0003;0;0002;A000;8;1000;395;0003
3A1;CEFB;39D;CEFB;3A1;039D;0;FFFB;A000;8;1000;;
39D;AAF6;39E;AAF6;001;F000;0;FFF6;F000;8;1000;394;0802
39E;F201;3A0;F201;39E;F201;0;0001;F000;8;1000;;
3A0;8395;3A1;8395;395;0002;0;0001;F000;8;1000;395;0002
3A1;CEFB;39D;CEFB;3A1;039D;0;FFFB;F000;8;1000;;
39D;AAF6;39E;AAF6;002;E000;0;FFF6;E000;8;1000;394;0803
39E;F201;3A0;F201;39E;F201;0;0001;E000;8;1000;;
3A0;8395;3A1;8395;395;0001;0;0000;E000;8;1000;395;0001
3A1;CEFB;39D;CEFB;3A1;039D;0;FFFB;E000;8;1000;;
39D;AAF6;39E;AAF6;003;0000;0;FFF6;0000;4;100;394;0804
39E;F201;39F;F201;39E;F201;0;039E;0000;4;100;;
39F;AAF6;3A0;AAF6;001;F000;0;FFF6;F000;8;1000;396;0002
3A0;8395;3A2;8395;395;0000;0;FFFF;F000;8;1000;395;0000
3A2;0100;3A3;0100;3A2;0100;0;03A2;F000;8;1000;;
